id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
29,"nose block, sinus, migraine",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,SNNWr4sq,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rajesh Mehta,EIZfv6tx
30,"inflammation, acne, blood impure",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,qFHyeZWw,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Suresh Pillai,omcYL7Vs
31,"gastric problem, indigestion, arthritis",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,b3ub37Jk,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,vdI2Mrr2
32,"kapha disorder, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,j0w4PZ1B,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Priya Reddy,LoxerKvR
33,"respiratory issue, asthma, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,xklKkWaH,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Anjali Das,USx29mtf
34,"skin rashes, allergy",Vaidya Seema Verma,Virechana,vaidya.seema.verma,9tNs9ZjE,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Manish Agarwal,gsh3TIs8
35,"constipation, gastric problem, back pain",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,9dUqVjFe,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Sneha Iyer,GUgq9G55
36,migraine,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,bgSuMkQf,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Vivek Rao,0lc6WZlj
37,cough,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,yHvww6Al,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rajesh Mehta,R4m8VNge
38,ulcer,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,ZRF1JmRA,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rajesh Mehta,PK5xwhbz
39,"bronchitis, obesity",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,v1D98Qha,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,D7NuGTEK
40,"skin boils, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,kP6Zn099,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Kavita Bansal,DinK0aQD
41,"gout, blood impure",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,ScWbnFEn,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Kavita Bansal,emG24l30
42,"psoriasis, liver problem",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,pik5Jmp1,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Ritu Malhotra,kk50U2XG
43,cough,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,GoHb4Ike,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Suresh Pillai,Jb9pCcxc
44,blood impure,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,Nj73mi7z,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Vivek Rao,EsaX61BC
45,"skin rashes, psoriasis",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,zuafePfM,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Priya Reddy,WNGt7THj
46,eczema,Vaidya Seema Verma,Virechana,vaidya.seema.verma,HOi55i8Z,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Priya Reddy,NFE5PcHb
47,pimples,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,ABP8tEko,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rohit Gupta,ja1iFFoa
48,"arthritis, constipation, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,XeOQ5S5n,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Pooja Nair,rwHUQ4oG
49,acne,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,b7lJeowm,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Pooja Nair,eG0l6mud
50,"inflammation, gout",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,IMQYySeo,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Arjun Kapoor,Cuwrxc84
51,nose block,Vaidya Priya Nair,Nasya,vaidya.priya.nair,h4tzYrBE,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Sneha Iyer,sHJWLHBK
52,acne,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,D5cn82kK,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Sneha Iyer,XAcxXoMf
53,"nose block, sinus, stuffy nose",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,3Q8qYb3L,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Aditi Sharma,ljP1Jyfh
54,"skin boils, inflammation, blood impure",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,zvVsf7yz,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Aditi Sharma,2548RgzT
55,inflammation,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,5qgeYRCM,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Aditi Sharma,VjaMRiV8
56,pimples,Vaidya Seema Verma,Virechana,vaidya.seema.verma,5wvS7pbe,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Karan Singh,6W6mtULg
57,obesity,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,mYwOemLJ,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Suresh Pillai,VgvJSZMW
58,"cough, asthma, respiratory issue",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,7AfQrWeF,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Rajesh Mehta,4VgPtYmX
59,"blood impure, acne",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,ahL65VCa,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rohit Gupta,tc2HOIYs
60,migraine,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,O6wBhWOL,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Manish Agarwal,IFaF2824
61,migraine,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,01USsmo3,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Karan Singh,0RBVLJMn
62,"constipation, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,qFmFU1ps,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Suresh Pillai,ZtOAhJvd
63,"pimples, skin rashes, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,in4PUdpF,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Manish Agarwal,HVpMHbjK
64,"pimples, allergy, skin rashes",Vaidya Seema Verma,Virechana,vaidya.seema.verma,OGTZAW5h,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Karan Singh,diX70xhC
65,"allergy, migraine, nose block",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,rYKgn9Zd,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Arjun Kapoor,Lkc08XnI
66,"cough, kapha disorder, asthma",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,0S4O7P94,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Vivek Rao,dvm9Mrs7
67,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,Uv9cCXEp,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rohit Gupta,PAdlNhly
68,"respiratory issue, kapha disorder, obesity",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,wgrIBv9D,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Rohit Gupta,Lg3lHQf8
69,blood impure,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,ZFoRq63S,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Sneha Iyer,OfE0Lr0I
70,"eczema, acidity",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,jA6Eunwj,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Pooja Nair,SrYwgAiH
71,"cold, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,zWbWtYsD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Manish Agarwal,9qZk5lUV
72,pimples,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,jwqkOaFF,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Vivek Rao,oKFrM27p
73,back pain,Vaidya Seema Verma,Basti,vaidya.seema.verma,WGBi2ds3,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Karan Singh,tAETY5SG
74,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,hgqhPAzA,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Aditi Sharma,pjpkgB8G
75,"skin boils, gout",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,0Bnwn2c8,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Priya Reddy,OfOHRTGo
76,"skin rashes, pimples, liver problem",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,n7YWMt26,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rohit Gupta,tBhZtE40
77,stuffy nose,Vaidya Priya Nair,Nasya,vaidya.priya.nair,br7v6DF5,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Pooja Nair,KAGSc0xJ
78,"blood impure, inflammation, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,QDs0ylW5,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Anjali Das,GkkSUWsq
79,"ulcer, blood impure",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,Wn1QtQN1,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Neha Verma,1FhKZvOj
80,"pimples, allergy, eczema",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,stV8NlLW,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Neha Verma,8gyB4R9L
81,"kapha disorder, asthma, bronchitis",Vaidya Lata More,Vamana,vaidya.lata.more,IwTBbgHl,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Karan Singh,cZbvA8ZZ
82,bronchitis,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,LNqq0S9d,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Priya Reddy,qU4CgZpC
83,"gout, acne",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,N8AGZlSE,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Rajesh Mehta,7mgqUSyj
84,"headache, allergy",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,tHY3zHt0,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Pooja Nair,6ytYPuet
85,allergy,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ptP9Pzqo,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Arjun Kapoor,TLOeEm9T
86,"cough, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,h4l7OtZA,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Manish Agarwal,6UF1vEAn
87,"psoriasis, eczema, allergy",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,SgpEOGta,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Arjun Kapoor,iO26MRJJ
88,"blood impure, ulcer, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,LqkAr1cQ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rajesh Mehta,okk2z86x
89,nose block,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,daSozsJE,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Manish Agarwal,yD7dVc3O
90,"sinus, nose block, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,zyFwqATK,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Ritu Malhotra,o6K8gxaG
91,"obesity, respiratory issue, cough",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,12sfKyUF,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Suresh Pillai,dxNoKX0J
92,"ulcer, gout, blood impure",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,FLVyXeYy,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Ritu Malhotra,WzrMDYHo
93,arthritis,Vaidya Seema Verma,Basti,vaidya.seema.verma,9AWFvnwT,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Rajesh Mehta,27JfLnSq
94,"respiratory issue, kapha disorder, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,CvqlvnDl,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Manish Agarwal,03Vr5NXt
95,nose block,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,hNxCAHYg,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Rajesh Mehta,ylnXo5Lm
96,"allergy, migraine, headache",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,7Gt7Sg78,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Rajesh Mehta,23flG2nu
97,gout,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,US3VkkuM,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Suresh Pillai,Eu8FBCIl
98,"gastric problem, joint pain, indigestion",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,EJm8FnGV,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Vivek Rao,Lf7Q65vx
99,"blood impure, acne, skin boils",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,Hl2pUKyf,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Rajesh Mehta,hFgYZE21
100,"indigestion, joint pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,cfDVNwiT,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rohit Gupta,SUbjCQsB
101,respiratory issue,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,OO6Npbue,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Neha Verma,DXWKrTTH
102,"headache, stuffy nose, allergy",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,xx3jI1hz,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Kavita Bansal,YnwJzqeb
103,blood impure,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,4EvL0Zbv,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rajesh Mehta,oPoCi2zh
104,"ulcer, gout, blood impure",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,n7l3jcfm,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Suresh Pillai,1KJPkPhN
105,gout,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,NmkpR1lx,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Suresh Pillai,5AXrtUry
106,indigestion,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,xVTEQwvW,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Priya Reddy,zbnUIjMR
107,acne,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,a1ZTCxyY,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Ritu Malhotra,tEDLAtDj
